4019	64
0	0.99143815 2.3653193 -0.6176383 0.65782785 -1.4627434 -0.10331367 -3.38568 0.0028707683 -0.6436894 0.54968387 -2.8998008 1.12693 -0.46992868 1.1004561 -0.987087 0.05501245 1.599029 -1.2719263 -1.1825783 -2.5753896 -0.6266624 1.8419448 1.7494094 -0.36493996 0.734429 -0.31729943 -0.4986336 0.025495792 0.7145199 -0.02687066 0.52136165 0.518548 0.18956247 1.0124395 0.4025701 -0.9512202 -1.2336296 0.021667376 0.30157542 0.56454724 -1.8456699 1.3024212 0.5165826 0.8029102 -0.24554871 -0.5616296 0.0030613989 -0.41307616 -0.8311441 -1.3514001 -0.36220375 1.2114701 -1.3499928 0.29676193 1.788729 -1.7322223 -1.1557822 -0.5729929 1.4001867 1.0516976 -3.0209572 1.9275918 0.9876205 -1.8061861
1	1.4913951 3.222879 -0.19757184 -1.4205348 0.24742018 0.08141416 -2.166707 -4.1180687 -0.73412395 1.2020955 -1.8479505 -2.3199286 -0.025741681 0.66261697 1.0942434 -1.5109545 -0.1621191 -2.8005111 1.6231337 -1.275771 0.6431381 -0.8086566 -0.7762749 1.2595676 1.7155899 -1.7062396 0.8108075 1.4346256 0.14279239 4.121175 -0.32326454 1.5435214 2.7921288 2.3037503 -1.2200505 1.2769905 -0.48922527 2.1192448 0.34501582 -1.2856905 -0.68685746 -1.001224 -0.935838 -1.0830562 -0.18261138 -2.1078968 -0.5896425 -1.8308572 -0.7658465 -2.953222 1.492176 0.2521757 -0.36176547 -1.2504798 -0.91223353 1.1227705 -0.24816677 -1.5540504 -0.07335855 2.947469 -0.58778584 -0.46795073 0.8008584 -0.53487706
2	2.6079154 -0.9253863 -0.22589949 -3.3253496 -1.7816365 0.31927422 1.8177515 -1.6700506 0.75151 -0.7518045 2.5594034 1.5319984 -3.639732 -0.38600668 0.96773195 2.3929768 -1.3390598 0.20540339 1.3033834 4.305385 -0.7970069 3.9009092 0.06920585 0.31596753 -2.9951978 -0.21052499 -2.6886847 0.05725587 1.6406292 -0.97722244 1.5271778 -0.084864035 0.94960636 -0.47592267 0.2462705 -0.84817094 -0.27008426 -0.511322 -0.83994704 1.0255874 -1.138458 3.2073946 2.268604 1.4163212 -2.6433215 -2.4302397 -0.09906006 -1.9190763 -3.0862193 -0.2992435 -0.37154853 0.08892787 -1.077614 1.1756667 0.9436623 -1.0469053 -0.28752038 1.2900474 0.9938239 0.3503768 -0.5134422 -4.332347 -1.6294574 -2.1071746
3	0.9078466 -0.4784255 -0.35748288 -0.75679183 2.4850082 -0.5459882 1.5875432 1.5978274 0.64510524 -0.65454125 0.39710876 0.7827914 0.24538256 -0.81532425 -0.044363387 0.2617666 1.6870029 0.47659302 -0.7575517 2.2316227 0.7966406 -1.1221671 -1.6069196 -1.8627114 -0.19774064 2.3566413 0.36011547 1.3804362 -2.5511599 0.8245466 0.9537594 -1.1077458 1.2399483 -1.1926117 0.6074482 2.245161 -0.596168 0.40817758 -1.14464 0.3912137 0.42823204 -1.5652713 -0.29203185 -1.7068765 -0.5980152 0.5939749 1.1330733 0.6413956 -0.98579 -0.29137066 -0.7641047 -1.4362394 -1.1355623 -1.2422457 -4.389551 1.4776978 -1.708446 -0.5150441 -0.5556617 -1.2045535 -0.46544653 0.037801117 -2.1332598 -0.2343534
4	3.9396622 0.08182258 -1.2528522 -1.197628 -2.0155013 0.5858449 0.11957055 -0.22715801 1.84753 -0.3067463 -1.9583756 -0.61119825 -2.3555412 0.9175668 0.31914607 0.48196143 -1.0486975 -2.692186 -0.37470448 -1.5335379 -2.0595226 -0.15058298 -0.23465048 -2.3825288 0.26709306 -0.82645357 -1.1100358 -0.41779503 1.9285105 3.1267824 2.358403 2.3440042 2.1601965 0.85142606 -0.0690517 -0.6399813 -3.1429882 0.03204386 1.4393746 -0.20200011 1.6774781 -0.2716697 -1.9822019 -6.2987337 -0.1284873 -0.13375074 1.3502916 1.7861519 2.6294324 -3.2543876 -1.2180525 1.6790451 -1.8607042 -0.5308133 -2.018377 1.7901167 0.57883716 -0.27786693 -1.5873075 0.810895 0.97004575 0.49705294 -1.6936069 1.8133003
5	-0.5036985 1.7038217 0.7041863 0.18734512 0.1620593 0.25532052 -0.2572927 0.44444984 -0.04196289 -0.6471543 -0.58904296 -0.60813856 -0.011673339 0.039272204 3.9162686 0.32138464 0.4744967 -1.253377 -1.0140176 -1.2910037 -1.0892885 -2.5247297 -1.1694896 -0.18094519 -0.21503966 0.5940077 -0.99629664 0.7824774 -1.3463665 2.0199006 -1.7613454 -0.10215306 -2.6428676 0.95715684 1.2978221 0.77207077 4.470277 -1.3411595 0.90528256 0.70476204 -0.53672105 -1.6988044 -0.29286873 0.7198207 -0.8920348 -2.234391 -1.6698331 -1.6731161 -0.49890766 -0.4064334 0.2990228 0.31637627 0.61301756 -2.3933766 -0.42405784 1.7953328 -1.5524697 -0.3189727 1.5434539 -0.6926248 -0.08686247 -0.0028004125 0.693395 -0.7621394
6	0.89536685 -0.6208795 -1.029673 -1.5016886 1.9525151 0.09319532 -1.2186755 -1.1407344 0.611953 0.22789901 -0.1414186 -1.1731896 0.14590026 -1.0716124 1.0308626 0.6890655 -0.37664413 3.2787764 0.17619106 0.71507925 1.4271295 -1.5529858 -1.6308839 -1.8482535 0.08729102 2.2449765 0.31196132 1.8654227 -0.24675202 -0.37604928 -0.116772026 -0.15473446 -0.36682793 -0.5216846 1.707776 1.7820759 -0.7033763 -1.557952 0.24558361 0.63275415 0.3346124 -0.17573258 0.58120763 -0.6430099 -0.31659 1.0998385 -1.2474283 -0.077305704 0.06307419 -1.8255886 -1.4351258 1.4091982 0.4402971 0.5763968 -3.1281261 -4.172953 -3.2914748 1.3071924 -1.0674276 1.4659144 -0.6146984 -1.29183 -1.6451585 1.1676086
7	-2.236417 1.7179602 -1.500824 0.9172302 0.9561129 -1.020692 -1.0439954 0.87053025 -0.21130516 -0.24818218 1.4864324 0.50834376 -1.4728336 -0.63180166 -0.7807466 -1.4195747 -0.6260952 1.4257365 -0.40411058 -2.831855 1.8010187 -0.35055274 -0.38374105 -0.19796245 -0.40732682 0.45962614 -1.1860617 2.5462704 -0.63634855 2.1891208 -1.2264843 1.3376368 -3.2525613 -1.5445468 0.58544654 -2.5905116 0.7945805 -1.6273439 -0.21926473 -1.5434618 0.6937916 -0.24948415 0.4265511 2.877388 -2.8892963 0.30298784 -1.3043243 -0.90380514 -0.91120124 0.4931447 -0.86547154 1.1475606 1.6619837 -0.8994635 -0.0863242 0.61156666 -1.0553495 -0.8492279 1.2704014 -1.6979237 1.8399316 -0.9013717 0.93365693 1.2748985
8	0.8320419 0.28374636 -0.24023178 -0.1904331 -1.1237544 -0.017979115 -3.3699963 -0.2604448 -0.9293028 0.5161366 -3.5608518 0.10678229 -0.8544233 0.17362592 -0.8112005 -0.5279694 -0.5120593 0.63892794 -0.061206944 -1.4593474 -0.2600124 1.5893894 1.6537311 -0.6211772 0.76491714 -0.88648033 0.5376385 -0.25411943 0.6885391 -0.08934742 1.0523994 -0.3661885 1.8951528 -0.18982944 0.06960407 -0.99055094 0.55414885 -0.005666375 2.0414164 1.1473612 -1.4043744 -1.2159686 0.54400957 -0.6141952 0.30670536 0.35604027 0.021107337 -0.90860665 1.3978946 -0.4272264 -0.3653065 -0.0445899 0.1502456 0.6535493 0.9083768 -1.2368952 -1.5938504 0.06710991 0.86423695 0.28785697 -0.6193344 0.3132724 0.6050316 -0.7258011
